,0,1
0,"35
","35
"
1,call_1,40
2,call_2,38
3,call_3,"answer False
"
4,fft0,23774841
5,fft1,50034885
6,fft2,48523944
7,gameoflife-gosper,53296056
8,gameoflife-oscillator,46054397
9,gameoflife-p61glidergun,45895673
10,if-combine1,458530
11,if-combine2,687689
12,if-combine3,1146071
13,large_loop_array_1,7722373
14,large_loop_array_2,15439688
15,large_loop_array_3,7319793
16,matmul1,38327975
17,matmul2,38308941
18,matmul3,38384830
19,mm1,10045459
20,mm2,8956111
21,mm3,6742364
22,shuffle0,10456818
23,shuffle1,18733083
24,shuffle2,7845495
25,sl1,17743349
26,sl2,5771131
27,sl3,2635682
28,sort1,4892475
29,sort2,147472214
30,sort3,20360529
31,spmv1,12055144
32,spmv2,7048964
33,spmv3,5399478
34,transpose0,10067872
35,transpose1,14118871
36,transpose2,22044960
